customer_id,gender,age,marital_status,occupation,location,first_purchase_date,preferred_payment
0,Male,35,Married,Analyst,Leeds,2023-08-08,Mobile Money
1,Male,42,Single,Doctor,London,2024-09-26,Card
2,Female,43,Single,Trader,Leeds,2024-02-21,Cash
3,Female,37,Married,Trader,Glasgow,2024-11-19,Mobile Money
4,Female,51,Married,Engineer,Glasgow,2024-11-28,Card
5,Male,21,Single,Analyst,Manchester,2024-06-21,Cash
6,Female,30,Married,Doctor,Manchester,2024-11-29,Card
7,Female,59,Single,Teacher,Glasgow,2023-09-20,Cash
8,Female,38,Married,Trader,Glasgow,2024-01-24,Mobile Money
9,Male,29,Married,Doctor,Leeds,2023-12-04,Card
10,Female,20,Single,Analyst,Glasgow,2024-09-29,Card
11,Male,43,Single,Trader,London,2023-09-06,Mobile Money
12,Female,45,Single,Teacher,Birmingham,2025-04-12,Mobile Money
13,Male,30,Married,Doctor,Manchester,2023-11-10,Mobile Money
14,Male,26,Married,Trader,Birmingham,2023-12-01,Cash
15,Male,42,Single,Engineer,London,2023-07-18,Mobile Money
16,Male,54,Married,Analyst,Manchester,2023-12-03,Mobile Money
17,Female,36,Married,Doctor,Birmingham,2023-08-29,Card
18,Male,43,Single,Trader,Leeds,2025-02-16,Mobile Money
19,Male,28,Married,Engineer,Leeds,2023-11-26,Cash
20,Male,28,Married,Engineer,Leeds,2023-12-30,Cash
21,Female,50,Married,Analyst,Birmingham,2024-11-29,Card
22,Male,25,Single,Trader,Leeds,2024-03-19,Mobile Money
23,Female,60,Married,Doctor,Leeds,2025-04-16,Mobile Money
24,Female,30,Married,Trader,Leeds,2024-10-02,Mobile Money
25,Male,48,Married,Doctor,London,2024-04-05,Mobile Money
26,Male,46,Single,Analyst,Glasgow,2024-07-07,Cash
27,Male,29,Married,Engineer,London,2024-03-02,Cash
28,Female,34,Married,Analyst,Glasgow,2025-02-27,Mobile Money
29,Female,47,Married,Engineer,Manchester,2025-02-23,Card
30,Female,38,Married,Engineer,London,2023-08-08,Cash
31,Male,33,Married,Trader,Leeds,2025-01-23,Cash
32,Female,33,Married,Doctor,Birmingham,2024-11-16,Card
33,Male,60,Married,Analyst,Birmingham,2023-06-17,Mobile Money
34,Male,45,Married,Engineer,London,2024-04-17,Cash
35,Male,44,Single,Trader,Birmingham,2025-01-08,Card
36,Female,41,Married,Analyst,Manchester,2023-08-10,Cash
37,Male,36,Single,Analyst,Manchester,2024-05-20,Mobile Money
38,Male,41,Single,Teacher,Manchester,2024-01-31,Card
39,Female,46,Married,Doctor,Birmingham,2024-07-25,Mobile Money
40,Female,23,Married,Teacher,Manchester,2025-02-04,Cash
41,Male,52,Married,Trader,Birmingham,2024-04-24,Card
42,Female,55,Single,Teacher,Glasgow,2024-07-16,Card
43,Female,47,Married,Engineer,Manchester,2024-11-21,Cash
44,Male,27,Married,Analyst,Glasgow,2024-06-08,Cash
45,Female,30,Single,Teacher,Leeds,2024-01-18,Card
46,Female,38,Married,Doctor,London,2024-11-17,Mobile Money
47,Male,41,Single,Teacher,London,2024-04-27,Mobile Money
48,Male,57,Single,Analyst,Leeds,2024-05-17,Mobile Money
49,Female,61,Married,Trader,London,2024-03-15,Cash
50,Male,27,Single,Trader,Manchester,2025-04-16,Card
51,Male,57,Married,Engineer,Leeds,2024-12-22,Cash
52,Male,58,Single,Teacher,Manchester,2023-10-04,Card
53,Female,53,Married,Trader,Birmingham,2023-11-07,Cash
54,Male,23,Single,Analyst,Glasgow,2023-11-15,Card
55,Female,63,Married,Teacher,Manchester,2024-02-13,Cash
56,Male,33,Single,Engineer,Leeds,2023-08-03,Mobile Money
57,Male,20,Single,Doctor,Manchester,2025-01-16,Card
58,Female,63,Single,Analyst,Leeds,2023-10-25,Cash
59,Male,44,Married,Teacher,Birmingham,2023-07-07,Mobile Money
60,Female,20,Single,Teacher,London,2024-03-27,Cash
61,Male,26,Married,Doctor,London,2023-11-10,Card
62,Male,25,Married,Analyst,Leeds,2023-07-18,Cash
63,Male,37,Single,Engineer,Manchester,2024-11-09,Cash
64,Male,58,Single,Trader,Glasgow,2025-03-17,Card
65,Male,55,Married,Doctor,Birmingham,2023-10-30,Card
66,Male,52,Single,Analyst,Manchester,2024-11-10,Mobile Money
67,Male,39,Single,Analyst,Leeds,2025-01-14,Mobile Money
68,Female,47,Married,Trader,Leeds,2024-08-23,Cash
69,Male,54,Single,Trader,Manchester,2025-01-29,Mobile Money
70,Female,31,Married,Trader,London,2024-11-25,Mobile Money
71,Female,23,Single,Trader,London,2023-12-21,Cash
72,Female,35,Single,Analyst,Birmingham,2024-11-02,Mobile Money
73,Female,57,Single,Teacher,Leeds,2023-09-05,Cash
74,Male,58,Single,Teacher,Leeds,2024-08-14,Cash
75,Female,44,Single,Trader,Birmingham,2024-02-12,Card
76,Female,39,Single,Analyst,Glasgow,2023-10-13,Mobile Money
77,Male,51,Married,Engineer,Manchester,2024-11-27,Mobile Money
78,Female,26,Married,Engineer,Glasgow,2024-05-30,Mobile Money
79,Female,58,Married,Engineer,London,2023-07-30,Mobile Money
80,Female,50,Married,Trader,Glasgow,2025-01-19,Mobile Money
81,Female,36,Married,Trader,Birmingham,2023-08-14,Cash
82,Female,58,Married,Engineer,Leeds,2024-05-27,Mobile Money
83,Female,48,Single,Teacher,Leeds,2025-02-26,Cash
84,Male,47,Married,Doctor,Birmingham,2024-10-24,Mobile Money
85,Male,36,Single,Engineer,London,2024-09-06,Cash
86,Female,64,Married,Trader,Birmingham,2024-05-14,Cash
87,Female,43,Single,Analyst,Glasgow,2023-11-19,Cash
88,Male,31,Single,Trader,Leeds,2023-09-09,Cash
89,Male,26,Married,Doctor,Glasgow,2023-08-17,Card
90,Female,63,Single,Trader,Glasgow,2024-11-14,Mobile Money
91,Female,42,Single,Trader,Leeds,2023-06-17,Cash
92,Male,51,Single,Engineer,London,2023-08-25,Cash
93,Female,59,Married,Engineer,London,2024-12-23,Card
94,Female,60,Single,Doctor,Leeds,2024-04-30,Cash
95,Male,41,Single,Engineer,Manchester,2024-01-01,Mobile Money
96,Male,46,Married,Teacher,Birmingham,2024-04-16,Card
97,Female,60,Married,Engineer,Manchester,2024-04-21,Mobile Money
98,Female,36,Married,Engineer,Leeds,2025-02-24,Mobile Money
99,Male,24,Single,Teacher,Manchester,2023-10-19,Card
100,Male,31,Single,Engineer,Leeds,2023-09-11,Mobile Money
101,Male,40,Married,Engineer,Manchester,2023-06-14,Mobile Money
102,Male,47,Married,Engineer,Birmingham,2023-06-13,Card
103,Male,19,Single,Engineer,Manchester,2023-12-16,Cash
104,Female,22,Single,Teacher,Glasgow,2024-12-14,Card
105,Male,26,Single,Engineer,Birmingham,2024-04-22,Mobile Money
106,Female,42,Single,Analyst,Birmingham,2025-01-27,Card
107,Female,65,Single,Teacher,Birmingham,2024-02-16,Cash
108,Male,60,Married,Trader,Birmingham,2023-10-01,Mobile Money
109,Female,42,Single,Teacher,London,2023-12-13,Card
110,Male,54,Married,Engineer,London,2024-06-01,Card
111,Male,49,Married,Doctor,Manchester,2024-03-20,Mobile Money
112,Male,43,Single,Trader,Manchester,2023-10-04,Cash
113,Male,50,Single,Engineer,Leeds,2024-10-07,Cash
114,Female,23,Married,Analyst,Glasgow,2024-09-08,Card
115,Female,21,Single,Trader,Leeds,2023-12-30,Mobile Money
116,Male,50,Married,Engineer,Birmingham,2024-10-17,Mobile Money
117,Female,65,Married,Engineer,Glasgow,2025-02-25,Mobile Money
118,Female,59,Single,Trader,Glasgow,2024-01-27,Card
119,Female,29,Married,Trader,Leeds,2025-03-13,Cash
120,Female,24,Single,Teacher,Leeds,2023-06-21,Card
121,Female,56,Married,Teacher,Birmingham,2024-02-23,Card
122,Male,56,Single,Engineer,London,2024-12-03,Cash
123,Male,63,Married,Teacher,Manchester,2025-01-14,Mobile Money
124,Female,29,Married,Teacher,Glasgow,2024-02-06,Card
125,Female,65,Married,Trader,Leeds,2024-05-24,Card
126,Male,50,Single,Trader,London,2023-07-23,Cash
127,Male,26,Single,Teacher,Leeds,2023-07-15,Mobile Money
128,Female,57,Single,Analyst,Leeds,2023-10-03,Cash
129,Male,55,Married,Trader,Leeds,2023-07-23,Cash
130,Female,29,Single,Engineer,London,2025-01-01,Cash
131,Male,32,Single,Analyst,Leeds,2023-10-23,Card
132,Male,29,Single,Teacher,London,2024-06-20,Mobile Money
133,Female,28,Married,Doctor,Birmingham,2023-08-29,Card
134,Male,18,Single,Teacher,Birmingham,2024-11-28,Mobile Money
135,Female,48,Married,Teacher,Leeds,2024-08-14,Mobile Money
136,Male,64,Married,Teacher,Manchester,2025-03-17,Mobile Money
137,Male,31,Single,Analyst,London,2025-03-30,Mobile Money
138,Male,33,Married,Teacher,Glasgow,2024-06-28,Cash
139,Female,58,Single,Analyst,Leeds,2023-07-28,Mobile Money
140,Male,18,Married,Doctor,Leeds,2025-03-03,Mobile Money
141,Male,43,Married,Doctor,Manchester,2024-04-27,Cash
142,Male,62,Married,Analyst,Birmingham,2023-11-29,Card
143,Female,43,Married,Trader,Glasgow,2024-04-26,Mobile Money
144,Male,58,Married,Doctor,Manchester,2023-12-24,Cash
145,Female,18,Married,Teacher,Leeds,2023-05-22,Mobile Money
146,Male,34,Married,Engineer,Manchester,2024-06-10,Cash
147,Female,28,Married,Teacher,Birmingham,2024-04-28,Mobile Money
148,Female,61,Single,Analyst,Leeds,2024-06-23,Mobile Money
149,Female,44,Married,Doctor,London,2023-10-22,Cash
150,Male,34,Single,Engineer,Leeds,2025-02-22,Cash
151,Male,26,Married,Analyst,Manchester,2024-04-23,Mobile Money
