payment_id,payment_date,payment_time,amount,payment_method,card_type,issuer_country,payment_channel,avs_response,cvv_response,three_ds_response,auth_response,merchant_name
0,2025-03-29,12:00:47,143.34,Card,Debit,US,POS,U,N,Y,Approved,Merchant_23
1,2025-03-20,12:00:47,14.1,Cash,Debit,UK,Mobile App,Y,N,Y,Approved,Merchant_23
2,2025-04-11,12:00:47,6.6,Card,Credit,UK,POS,Y,N,Y,Approved,Merchant_17
3,2025-05-13,12:00:47,143.34,Mobile Money,Credit,US,Web,U,N,Y,Approved,Merchant_13
4,2025-04-12,12:00:47,36.19,Mobile Money,Debit,US,Web,Y,M,N,Declined,Merchant_42
5,2025-04-01,12:00:47,62.3,Mobile Money,Credit,UK,POS,U,M,Y,Approved,Merchant_37
6,2025-03-19,12:00:47,85.0,Mobile Money,Credit,US,Web,N,M,Y,Approved,Merchant_12
7,2025-03-25,12:00:47,73.15,Mobile Money,Credit,NG,POS,Y,M,Y,Approved,Merchant_34
8,2025-04-11,12:00:47,2.82,Cash,Credit,UK,POS,Y,M,N,Approved,Merchant_25
9,2025-03-21,12:00:47,143.34,Card,Credit,NG,POS,Y,N,N,Declined,Merchant_45
10,2025-04-28,12:00:47,47.78,Mobile Money,Credit,US,Mobile App,Y,N,N,Declined,Merchant_14
11,2025-05-13,12:00:47,33.24,Mobile Money,Credit,NG,Web,U,M,Y,Declined,Merchant_20
12,2025-03-29,12:00:47,92.19,Mobile Money,Debit,NG,Web,U,N,Y,Declined,Merchant_49
13,2025-05-16,12:00:47,64.74,Card,Debit,US,Web,Y,M,N,Declined,Merchant_4
14,2025-04-22,12:00:47,14.63,Mobile Money,Debit,UK,POS,Y,M,N,Declined,Merchant_33
15,2025-04-29,12:00:47,49.82,Card,Credit,US,Mobile App,N,N,N,Declined,Merchant_11
16,2025-04-22,12:00:47,11.0,Card,Debit,NG,Web,Y,M,N,Approved,Merchant_11
17,2025-03-23,12:00:47,124.55,Card,Credit,UK,Web,U,M,N,Declined,Merchant_24
18,2025-04-03,12:00:47,22.02,Card,Credit,UK,Web,N,N,Y,Approved,Merchant_22
19,2025-04-14,12:00:47,9.46,Cash,Credit,US,Mobile App,Y,N,N,Declined,Merchant_21
20,2025-05-02,12:00:47,12.5,Card,Debit,NG,Mobile App,N,N,Y,Declined,Merchant_20
21,2025-03-19,12:00:47,12.66,Card,Credit,US,POS,N,N,Y,Declined,Merchant_21
22,2025-05-09,12:00:47,36.24,Cash,Credit,NG,POS,Y,N,N,Approved,Merchant_25
23,2025-05-05,12:00:47,51.22,Mobile Money,Credit,NG,POS,U,N,N,Approved,Merchant_41
24,2025-04-23,12:00:47,62.3,Cash,Credit,NG,POS,N,N,N,Approved,Merchant_38
25,2025-04-07,12:00:47,61.6,Card,Debit,NG,Web,N,M,N,Approved,Merchant_4
26,2025-04-11,12:00:47,30.8,Card,Debit,US,Web,N,M,N,Approved,Merchant_3
27,2025-04-09,12:00:47,7.92,Card,Credit,NG,Web,U,M,N,Declined,Merchant_7
28,2025-04-16,12:00:47,32.37,Card,Debit,NG,Web,Y,N,Y,Approved,Merchant_5
29,2025-04-25,12:00:47,29.36,Mobile Money,Debit,US,POS,U,N,Y,Declined,Merchant_47
30,2025-04-01,12:00:47,32.37,Cash,Credit,UK,POS,U,N,Y,Declined,Merchant_4
31,2025-05-15,12:00:47,144.95,Mobile Money,Debit,US,POS,N,M,N,Approved,Merchant_1
32,2025-04-19,12:00:47,12.66,Card,Credit,NG,Web,N,M,Y,Declined,Merchant_45
33,2025-05-12,12:00:47,9.46,Cash,Credit,NG,POS,U,N,N,Declined,Merchant_11
34,2025-04-08,12:00:47,47.78,Card,Debit,US,Mobile App,N,N,Y,Approved,Merchant_23
35,2025-04-07,12:00:47,12.46,Card,Debit,US,Web,Y,M,Y,Declined,Merchant_30
36,2025-04-20,12:00:47,10.0,Card,Credit,US,Web,U,M,Y,Approved,Merchant_15
37,2025-04-10,12:00:47,53.85,Card,Credit,NG,Web,U,N,N,Approved,Merchant_5
