purchase_id,customer_id,product_id,purchase_date,quantity,total_amount,payment_id,sales_channel
0,456,15,2025-03-29,3,143.34,0,In-store
1,643,13,2025-03-20,5,14.1,1,In-store
2,245,17,2025-04-11,3,6.6,2,In-store
3,533,15,2025-05-13,3,143.34,3,Online
4,796,8,2025-04-12,1,36.19,4,Online
5,530,3,2025-04-01,5,62.3,5,In-store
6,217,25,2025-03-19,5,85.0,6,Online
7,519,12,2025-03-25,5,73.15,7,In-store
8,649,13,2025-04-11,1,2.82,8,In-store
9,251,15,2025-03-21,3,143.34,9,In-store
10,752,15,2025-04-28,1,47.78,10,In-store
11,155,22,2025-05-13,2,33.24,11,Online
12,389,20,2025-03-29,3,92.19,12,Online
13,792,9,2025-05-16,2,64.74,13,Online
14,857,12,2025-04-22,1,14.63,14,In-store
15,688,6,2025-04-29,2,49.82,15,In-store
16,991,17,2025-04-22,5,11.0,16,Online
17,316,6,2025-03-23,5,124.55,17,Online
18,827,10,2025-04-03,3,22.02,18,Online
19,389,18,2025-04-14,1,9.46,19,In-store
20,859,1,2025-05-02,5,12.5,20,In-store
21,960,5,2025-03-19,3,12.66,21,In-store
22,781,4,2025-05-09,3,36.24,22,In-store
23,603,7,2025-05-05,2,51.22,23,In-store
24,43,3,2025-04-23,5,62.3,24,In-store
25,619,11,2025-04-07,4,61.6,25,Online
26,47,11,2025-04-11,2,30.8,26,Online
27,749,19,2025-04-09,4,7.92,27,Online
28,972,9,2025-04-16,1,32.37,28,Online
29,54,10,2025-04-25,4,29.36,29,In-store
30,958,9,2025-04-01,1,32.37,30,In-store
31,485,21,2025-05-15,5,144.95,31,In-store
32,795,5,2025-04-19,3,12.66,32,Online
33,504,18,2025-05-12,1,9.46,33,In-store
34,87,15,2025-04-08,1,47.78,34,In-store
35,398,3,2025-04-07,1,12.46,35,Online
36,173,1,2025-04-20,4,10.0,36,Online
37,978,24,2025-04-10,3,53.85,37,Online
38,678,18,2025-04-21,1,9.46,38,Online
39,798,24,2025-04-13,3,53.85,39,Online
40,109,2,2025-04-03,1,31.1,40,In-store
41,549,21,2025-05-17,4,115.96,41,In-store
42,801,9,2025-04-28,4,129.48,42,Online
43,234,18,2025-05-11,1,9.46,43,In-store
44,641,23,2025-04-03,2,19.92,44,In-store
45,119,16,2025-04-10,5,101.6,45,Online
46,623,16,2025-04-06,5,101.6,46,Online
47,603,22,2025-05-02,3,49.86,47,Online
48,67,1,2025-05-08,4,10.0,48,Online
49,475,9,2025-03-30,4,129.48,49,Online
50,442,25,2025-04-05,1,17.0,50,Online
51,133,4,2025-05-10,1,12.08,51,Online
52,794,13,2025-05-12,2,5.64,52,Online
53,484,5,2025-05-07,2,8.44,53,In-store
54,772,9,2025-04-09,1,32.37,54,Online
55,596,2,2025-04-01,1,31.1,55,Online
56,33,16,2025-04-07,2,40.64,56,Online
57,540,17,2025-04-15,4,8.8,57,Online
58,923,25,2025-04-05,4,68.0,58,Online
59,254,0,2025-05-12,5,48.4,59,Online
60,151,1,2025-05-06,2,5.0,60,Online
61,529,17,2025-03-31,3,6.6,61,In-store
62,23,5,2025-03-30,5,21.1,62,Online
63,712,19,2025-03-27,4,7.92,63,Online
64,344,9,2025-05-03,1,32.37,64,In-store
65,787,7,2025-04-01,2,51.22,65,In-store
66,757,9,2025-05-10,2,64.74,66,In-store
67,484,10,2025-04-25,2,14.68,67,Online
68,294,19,2025-04-05,2,3.96,68,Online
69,157,8,2025-03-21,4,144.76,69,In-store
